diameter_km,lon,lat,tag
5.0084973495,98.3046336283,48.0099587921,standard
6.89826053655,95.7767926441,48.4169840354,standard
10.8143230087,93.4444308884,47.3699651531,standard
13.4684811331,90.4238751361,46.8236944319,standard
5.46515313404,90.3917415642,47.9965698039,standard
8.1530902861,90.2524002817,43.3129843856,standard
11.329868269,93.9079666512,45.3646221103,standard
7.45676043918,93.8905798908,46.0796526309,standard
9.92861433112,93.7362723925,46.3295873113,standard
5.68626717383,94.1622480218,44.5930846185,standard
8.03527795545,96.0921784237,43.9128276187,standard
5.63470295838,95.8857106443,45.5710898898,standard
17.6643511457,95.551015507,43.3434112163,standard
5.10548217531,94.449129568,43.2195305486,standard
12.4017754357,97.0549702797,45.8471047108,standard
6.04173929401,97.5157194297,45.9209984424,standard
5.17972736631,96.4399136313,44.2105758902,standard
7.21583205122,97.9090948833,42.3827927054,standard
18.2010322794,96.7963422191,40.7679973353,standard
19.2732146596,95.2967341364,40.022539984,standard
8.77800558764,94.7773046701,39.8008587892,standard
6.14224635598,93.39071053,41.1157325428,standard
9.39106573503,92.5496259967,40.8201576164,standard
5.3631129204,92.8321608528,42.1567648205,standard
7.76740385176,91.4542600928,39.3248962239,standard
14.9612612684,93.301603383,39.0727881984,standard
5.37460607999,96.5029406377,39.194495521,standard
5.10626760908,96.5594476089,39.0749615434,standard
8.496414262,90.8425395872,36.0661231447,standard
9.17227599354,91.1759398023,36.753335833,standard
14.1383972454,91.4458352145,35.8075678758,standard
8.54968714318,91.797379659,34.4149982698,standard
5.41843227878,90.0714098379,34.9547890943,standard
5.02857121446,92.2577894799,37.3974559765,standard
8.31919463844,92.870157222,35.2995294528,standard
7.56535080374,92.5390250355,33.6869610654,standard
8.67948889989,94.2649948566,33.6279923199,standard
17.624167614,94.5711787277,36.0116904565,standard
8.97170925313,94.3920044624,38.1572455824,standard
8.98653311028,95.4330296239,37.1048802775,standard
11.4311145124,95.9115836742,36.8962216395,standard
8.52086021115,97.1794117031,36.258905582,standard
6.58084342576,97.6012650365,36.5877697398,standard
5.51164721557,95.7006570074,34.7257181982,standard
6.24304490048,98.3996111298,35.8733407074,standard
7.55582546504,98.1818803771,36.1160197755,standard
5.73077487414,98.5493010223,36.7760161197,standard
6.50778951205,97.4425030293,32.0358361905,standard
10.9615965814,95.6779767207,33.0995416387,standard
10.3432118091,95.7891101257,32.7207808501,standard
5.73347425652,96.0635415953,30.9675946849,standard
5.95944623632,95.6235440325,30.8224408498,standard
6.92527479442,94.5983950718,30.897285796,standard
6.35438217272,92.3598507702,31.8249095238,standard
8.56888662841,92.0740791573,32.8455224272,standard
7.80277413804,90.488727114,32.8273781978,standard
6.61517683697,91.8223279744,31.3690357603,standard
5.38896432438,90.0101730637,27.5406033581,standard
5.84263605557,92.3916031717,30.4119276597,standard
6.47304628711,90.3639855369,28.2822487346,standard
5.19649873588,93.5346896235,28.6723496666,standard
5.52361409795,93.9996355017,29.0692546846,standard
6.19784009459,95.4761221687,29.2234806344,standard
6.0633689262,97.3381737103,30.1715166203,standard
12.6748676246,95.7006570074,25.417728519,standard
